State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
India,2097726,2261415,2538170,2971464,3390503,3953276,4582086,5303567,6108903,7248860,8736039,9946636,11236635,12433749,13675331,15251028,17095005,19010164,20351013,19745670
Andhra Pradesh,156711,167096,190017,224713,255941,301035,364813,426765,476835,583762,379402,411404,464272,524976,604229,697508,809547,933402,1080657,
Arunachal Pradesh,2104,2071,2368,3488,3755,4108,4810,5687,7474,9013,11063,12547,14581,17959,18509,19627,22045,24603,27300,
Assam,38313,43407,47305,53398,59385,64692,71076,81074,95975,112688,143175,156864,177745,195723,227959,254478,288494,315881,374096,374000
Goa,7097,8100,9301,12713,14327,16523,19565,25414,29126,33605,42367,38120,35921,47814,55054,63460,70493,77172,80449,81500
Gujarat,123573,141534,168080,203373,244736,283693,329285,367912,431262,521519,615606,724495,807623,921773,1029010,1153327,1314680,1499013,1701495,1778000
Haryana,65505,72528,82862,95795,108885,128732,151596,182522,223600,260621,297539,347032,399268,437145,495249,556325,626054,707126,784910,765000
Himachal Pradesh,17148,18905,20721,24077,27127,30274,33963,41483,48189,57452,72720,82820,94764,103772,114239,125634,140613,153181,168972,156000
Jammu and Kashmir,18039,20326,22194,27305,29920,33230,37099,42315,48385,58073,78256,87138,95619,98370,117168,125379,138488,155956,170382,176282
Karnataka,112847,120889,130990,166747,195904,227237,270629,310312,337559,410703,606048,695413,816666,913923,1045168,1209136,1350257,1535224,1588303,1803987
Kerala,77924,86895,96698,119264,136842,153758,175141,202783,231999,263773,364048,412313,465041,512564,561994,634871,700532,875514,854000,
Madhya Pradesh,86745,86832,102839,112927,124276,144577,161479,197276,227984,263396,315562,380925,439483,479939,541189,648849,728242,809327,962430,917000
Maharashtra,273188,299479,340600,415480,486766,584498,684817,753969,855751,1035086,1280369,1459629,1649647,1779138,1966147,2188532,2411600,2656551,2979556,3079086
Manipur,3369,3506,3979,5133,5718,6137,6783,7399,8254,9137,12915,13743,16182,18129,19531,21294,23968,27870,31790,
Meghalaya,4478,4763,5280,6559,7265,8625,9735,11617,12709,14583,19918,21872,22938,23235,25117,27439,30790,33481,36572,34800
Mizoram,1947,2166,2325,2682,2971,3290,3816,4577,5260,6388,7259,8362,10293,13509,15139,17192,19457,22287,26503,
Nagaland,3972,4467,4812,5839,6588,7257,8075,9436,10527,11759,12177,14121,16612,18401,19524,21722,24281,27283,31900,
Punjab,79611,82249,90089,96839,108637,127123,152245,174039,197500,226204,266628,297734,332147,355102,390087,426988,479141,521861,577829,541000
Rajasthan,91771,88550,111606,127746,142236,171043,194822,230949,265825,338348,434837,493551,561031,615642,681485,758809,835558,929124,1020989,958000
Sikkim,1136,1276,1430,1739,1993,2161,2506,3229,6133,7412,11165,12338,13862,15407,18034,20687,23495,26786,32496,
Tamil Nadu,148861,158155,175371,219003,257833,310526,350819,401336,479733,584896,751486,854825,968530,1072678,1176500,1302639,1461841,1664159,1854239,2124000
Telangana,156711,167096,190017,224713,255941,301035,364813,426765,476835,583762,359434,401594,451580,505849,577902,659033,753811,865688,969604,978000
Tripura,6370,6733,7551,8904,9826,10914,11797,13573,15403,17868,19208,21663,25593,29533,35938,39612,46133,49845,55984,59700
Uttar Pradesh,190269,206855,226972,260841,293172,336317,383026,444685,523394,600164,724050,822393,940356,1011790,1137210,1248374,1376324,1542432,1791000,1948000
Uttarakhand,15144,18473,20439,24786,29968,36795,45856,56025,70730,83969,115328,131613,149074,161439,177163,195125,222836,245895,263233,
West Bengal,157144,168000,189259,208656,230245,261682,299483,341942,398880,460959,520485,591464,676848,718082,797300,872527,999585,1177586,1314529,1511000
Chandigarh,5490,6453,7419,8504,10185,12276,13669,15334,17717,20017,18768,21609,24822,26549,29280,32741,38806,42114,,
Delhi,65027,71361,79468,100325,115374,135584,157947,189553,219753,252753,343798,391388,443960,494803,550804,615605,690098,779652,856112,798000
Puducherry,4259,4931,5438,5754,7977,8335,9251,10050,12304,13092,16818,18875,21870,22574,26617,29573,32962,36656,38253,
