Date,Interest Level
2016-11,2036483.6557333337
2016-12,1662366.9790389528
2016-5,2822436.5860629263
2016-6,2002126.3087777907
2016-7,1503048.8055311176
2016-8,1699989.805283951
2016-9,1798747.3983600002
2016-10,1954476.5598448943
2017-2,2819446.421865703
2017-9,1871733.9104177775
2017-10,1826763.747627724
2017-1,2428495.81457054
2017-11,2333814.7712086425
2017-12,1360622.0878292895
2017-3,2909581.818950901
2017-4,1988336.883042323
2017-5,2038299.2493769727
2017-6,729957.3613124609
2017-7,740891.1018842298
2017-8,767877.5168133333
2018-2,2269478.4798825914
2018-9,1965265.8030962967
2018-10,1318452.0703200733
2018-1,1456832.8764293427
2018-11,3634450.8055555555
2018-12,3454742.3130780226
2018-3,1472836.438948539
2018-4,1011813.727453357
2018-5,975940.0339646816
2018-6,756389.6185093299
2018-7,1246914.6764688902
2018-8,1481081.4564
2019-2,3455036.5401134943
2019-9,3356218.515721481
2019-10,1372701.0884244526
2019-1,2496422.7545553125
2019-11,3563386.398893827
2019-12,1256807.7016182563
2019-3,2303770.3519395315
2019-4,1645533.7879653503
2019-5,1553915.4300698615
2019-6,1236192.5480525077
2019-7,1137739.5235331987
2019-8,2842967.0559288883
2020-2,2553285.9409797085
2020-9,17135629.715555556
2020-10,18311297.408211652
2020-1,1335211.9351716018
2020-11,12351863.250765432
2020-12,16996826.105221212
2020-3,1116910.6521726751
2020-4,13612930.24343083
2020-5,6474047.980413391
2020-6,9274706.557256972
2020-7,15307823.299407866
2020-8,4273788.0885333335
2021-2,12062611.475273974
2021-3,13116065.134550724
2021-4,2975282.6582529815
2021-5,36095315.671428755
2021-6,13232773.203144237
2021-7,14218270.127954546
2021-1,14085700.957909927
