x,Academic,Private Enterprise,Hotel
2017-1,0.0,0.0,0.0
2017-2,0.0,392156.86,0.0
2017-3,0.0,0.0,424528.3
2017-4,0.0,0.0,0.0
2017-5,0.0,0.0,0.0
2017-6,0.0,613820.75,0.0
2017-7,0.0,0.0,0.0
2017-8,0.0,0.0,0.0
2017-9,0.0,0.0,0.0
2017-10,1460714.2,0.0,0.0
2017-11,0.0,0.0,0.0
2017-12,23500.0,0.0,0.0
2018-1,419510.0,406250.0,0.0
2018-2,0.0,0.0,0.0
2018-3,0.0,396420.0,0.0
2018-4,0.0,665495.0966666667,0.0
2018-5,0.0,327227.0,0.0
2018-6,0.0,30000.0,0.0
2018-7,0.0,412948.9,0.0
2018-8,223214.29,0.0,0.0
2018-9,1497.1743333333332,0.0,0.0
2018-10,455490.31666666665,158117.114,472407.0
2018-11,1694.92,0.0,0.0
2018-12,456428.58,0.0,0.0
2019-1,0.0,200892.5,0.0
2019-2,0.0,0.0,0.0
2019-3,0.0,0.0,0.0
2019-4,0.0,66964.66666666667,42203.0
2019-5,0.0,0.0,0.0
2019-6,0.0,516071.5,0.0
2019-7,0.0,18304.0,0.0
2019-8,0.0,0.0,0.0
2019-9,0.0,0.0,0.0
2019-10,0.0,0.0,0.0
2019-11,0.0,6400.0,0.0
2019-12,0.0,0.0,0.0
2020-1,0.0,0.0,0.0
2020-2,0.0,68660.7143,0.0
2020-3,0.0,0.0,0.0
2020-4,0.0,0.0,0.0
2020-5,0.0,0.0,0.0
2020-6,0.0,16428.57143,0.0
2020-7,0.0,0.0,0.0
2020-8,0.0,49107.142855,0.0
2020-9,0.0,0.0,0.0
2020-10,0.0,0.0,0.0
2020-11,0.0,0.0,17839.28571
2020-12,0.0,75891.07143139999,17839.28571
2021-1,0.0,81369.16666666667,0.0
2021-2,93642.8,0.0,0.0
2021-3,0.0,83048.57142857143,0.0
2021-4,16607.0,50606.666666666664,0.0
2021-5,0.0,0.0,0.0
2021-6,0.0,0.0,0.0
2021-7,0.0,0.0,0.0
