Date,Outbound - cold visit,Dealer referral,OnlineStore,Seminar,Client referral,Inbound-Call,,Inbound,Hompage inqury,Exhibition,InBody user,Outbound - cold call cold mail,Reference,IndiaMart,Outbound,WebSite Visit,InBody Seminar,Event,Hompage inquiry,Dealer,Recurring,Inbound-call,Inbound-IndiaMart,Tender,service,Other,Tendor,Customer-Service,nan
2017-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2017-2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2017-3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-4,2,1,,,2,,,1,1,,1,,,,,,,,,,,,,,,,,,
2017-5,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2017-6,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1.0
2017-7,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2017-8,5,7,,,1,1,,,5,1,1,2,2,,,,,,,,,,,,,,,,
2017-9,5,188,,,2,5,,,1,,,,,,,,,,,,,,,,,,,,12.0
2017-10,1,1,,,1,5,,,1,,,,,,1,1,,,,,,,,,,,,,29.0
2017-11,2,1,,,1,1,,1,,,,1,,,,1,,,,,,,,,,,,,1.0
2017-12,1,1,,,4,,,,,2,,,,,,1,,,,,,,,,,,,,
2018-1,1,,,,1,,,,1,,,1,,,,2,,,,,,,,,,,,,
2018-2,3,3,,,2,2,,,,2,,,,,,,,,,,,,,,,,,,
2018-3,4,,,,4,5,,,,1,1,,,,,,,,,,,,,,,,,,2.0
2018-4,2,,,,1,2,,,,1,1,1,,,,,,,,,,,,,,,,,
2018-5,2,4,,,3,7,,1,,,,,,,,,,1,1,,,,,,,,,,
2018-6,10,4,,,2,2,,,,,3,1,,,1,,,,1,,,,,,,,,,2.0
2018-7,3,6,,,2,2,,,1,1,1,1,1,,,,,2,1,,,,,,,,,,1.0
2018-8,5,7,,,,1,,1,,2,,1,1,,,,,,,,,,,,,,,,
2018-9,4,2,1,,,1,,1,,,,,,,3,,,,,,,,,,,,,,
2018-10,2,4,,,,2,,,,,1,,1,,,,,1,1,,,,,,,,,,
2018-11,,4,,,5,,,1,,,2,,2,,1,,,,,,,,,,,,,,1.0
2018-12,2,2,,,,,,2,,,1,,1,,1,,,,,,,,,,,,,,
2019-1,,,,,,1,,2,,,,,9,,5,,,,,,,,,,,,,,
2019-2,,,,,,,,2,,,,,,,6,,,,,,,,,,,,,,1.0
2019-3,,,,,,,,3,,,,,4,,9,,,,,,,,,,,,,,
2019-4,,,,,,,,4,,,,,2,,7,,,,,,,,,,,,,,
2019-5,,,,,,,,3,,,,,6,,2,,,,,,,,,,,,,,1.0
2019-6,,,,,,,,2,,,,,5,,8,,,,,,1,,,,,,,,
2019-7,,,,,,,,3,,,,,5,,8,,,,,,,,,,,,,,
2019-8,,,,,,,,8,,,,,4,,5,,,1,,,,,,,,,,,
2019-9,,,,,,,,3,,,,,3,,2,,,,,,1,,,,,,,,
2019-10,,,,,1,,,7,,,,,2,,4,,,,,,,,,1,,,,,
2019-11,,,,,,,,3,,,,,3,,1,,,1,,,,,,,,,,,
2019-12,,,,,,,,5,,,,,4,,6,,,1,,,,,,,,,,,
2020-1,,,,,,,,6,,,,,3,,8,,,,,,1,,,,,,,,
2020-2,,,,,,,,10,,,,,2,,7,,,2,,1,,,,,,,,,
2020-3,,,,,,,,6,,,,,13,,13,,,1,,,5,,,,,6,,,1.0
2020-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-5,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
2020-6,,,,,,,,6,,,,,,,1,,,,,,,,,,,,1,,
2020-7,,,,,,,,1,,,,,1,,2,,,,,,,,,,,,1,,
2020-8,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,
2020-9,,,,,,,,2,,,,,2,,1,,,1,,1,,,,,,,,,
2020-10,,,,,,,,10,,,,,8,,8,,,,,1,,,,,,3,,,
2020-11,,,,,,,,1,,,,,5,,1,,,,,,,,,,,2,,,
2020-12,,,,,,,,6,,,,,9,,3,,,2,,,,,,,,,,,
2021-1,,,,,,,,6,,,,,5,,3,,,,,,,,,,,,,,
2021-2,,,,,,,,6,,,,,5,,1,,,,,5,,,,,,,,,
2021-3,1,,,,,,,13,,,,,9,,5,,,,,1,,,,,,,,,
2021-4,,,,,,,,3,,,,,4,,2,,,,,,1,,,,,,,,
2021-5,,,,,,,,3,,,,,,,1,,,,,1,,,,,,,,,
2021-6,,,,,,,,1,,,,,3,,1,,,,,,,,,,,,,,
2021-7,,,,,,,,4,,,,,8,,,,,,,1,,,,,,,,,
